Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2018 [YR2018]
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Liechtenstein,LIE,..,1.58
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lithuania,LTU,2.03,1.63
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Luxembourg,LUX,1.6,1.38
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Madagascar,MDG,6.179,4.077
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Malawi,MWI,6.872,4.209
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Malaysia,MYS,3.554,2.001
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Maldives,MDV,6.003,1.87
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mali,MLI,7.165,5.877
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Malta,MLT,2.02,1.23
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Marshall Islands,MHL,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mauritania,MRT,5.881,4.561
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mauritius,MUS,2.32,1.41
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mexico,MEX,3.47,2.129
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Moldova,MDA,2.414,1.262
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Monaco,MCO,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mongolia,MNG,4.052,2.895
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Montenegro,MNE,2.078,1.745
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Morocco,MAR,4.047,2.415
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mozambique,MOZ,6.211,4.852
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Myanmar,MMR,3.447,2.154
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Namibia,NAM,5.219,3.396
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Nauru,NRU,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Nepal,NPL,5.172,1.917
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Netherlands,NLD,1.62,1.59
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,New Caledonia,NCL,3.18,1.97
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,New Zealand,NZL,2.18,1.71
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Nicaragua,NIC,4.596,2.404
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Niger,NER,7.772,6.913
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Nigeria,NGA,6.49,5.387
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Northern Mariana Islands,MNP,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Norway,NOR,1.93,1.56
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Oman,OMN,7.165,2.888
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Pakistan,PAK,6.164,3.51
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Palau,PLW,2.84,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Panama,PAN,3.057,2.461
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Papua New Guinea,PNG,4.802,3.564
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Paraguay,PRY,4.547,2.429
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Peru,PER,3.912,2.254
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Philippines,PHL,4.32,2.576
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Poland,POL,2.06,1.46
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Portugal,PRT,1.56,1.42
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Puerto Rico,PRI,2.219,1.035
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Qatar,QAT,4.013,1.866
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Romania,ROU,1.83,1.76
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Rwanda,RWA,7.184,4.044
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Samoa,WSM,5.118,3.877
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,San Marino,SMR,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sao Tome and Principe,STP,5.828,4.321
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Saudi Arabia,SAU,5.911,2.319
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Senegal,SEN,6.448,4.625
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Serbia,SRB,..,1.49
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Seychelles,SYC,..,2.41
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sierra Leone,SLE,6.721,4.263
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Singapore,SGP,1.83,1.14
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Slovenia,SVN,1.46,1.6
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Solomon Islands,SLB,5.851,4.403
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Somalia,SOM,7.398,6.072
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,South Africa,ZAF,3.964,2.405
